               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067156,            0.032223,                   0,              0.8155,             0.71957,              0.8316,             0.37759,            0.019401,            0.018111,                   0,              0.0027,              0.0027,              0.0757
                   1,            0.042521,            0.025616,                   0,             0.70555,             0.67442,             0.71413,             0.35332,            0.027779,            0.010562,                   0,           0.0054546,           0.0054546,            0.050455
                   2,            0.045161,            0.018691,                   0,             0.55138,             0.71464,             0.59748,             0.28211,            0.033957,           0.0065678,                   0,            0.008163,            0.008163,            0.025163
                   3,            0.047437,            0.017518,                   0,             0.42919,              0.7907,             0.46397,             0.12235,            0.024717,           0.0060203,                   0,           0.0097525,           0.0097525,           0.0097525
                   4,            0.040488,            0.015893,                   0,             0.69013,             0.67336,             0.75589,             0.26007,            0.030185,           0.0045122,                   0,           0.0097525,           0.0097525,           0.0097525
                   5,            0.039195,            0.016136,                   0,             0.52631,             0.93022,             0.64339,             0.25975,            0.023603,           0.0055915,                   0,             0.00967,             0.00967,             0.00967
                   6,             0.03493,            0.014511,                   0,             0.93179,             0.95307,             0.97616,             0.57015,            0.017603,           0.0049141,                   0,           0.0095875,           0.0095875,           0.0095875
                   7,            0.029488,            0.014061,                   0,             0.86032,             0.86047,             0.91383,             0.61449,            0.015919,           0.0046759,                   0,            0.009505,            0.009505,            0.009505
                   8,             0.02924,            0.013922,                   0,              0.8232,             0.97674,             0.92576,             0.41141,            0.017372,           0.0048065,                   0,           0.0094225,           0.0094225,           0.0094225
                   9,            0.030006,            0.013261,                   0,             0.80389,             0.95328,             0.84817,             0.47209,            0.015345,           0.0051651,                   0,             0.00934,             0.00934,             0.00934
                  10,            0.025675,            0.012928,                   0,             0.95543,                   1,             0.99322,             0.59513,            0.015088,           0.0046885,                   0,           0.0092575,           0.0092575,           0.0092575
                  11,            0.023649,            0.012001,                   0,             0.99996,                   1,               0.995,               0.584,            0.016288,            0.004161,                   0,            0.009175,            0.009175,            0.009175
                  12,            0.027661,            0.012327,                   0,             0.99984,                   1,               0.995,             0.73791,           0.0091336,           0.0035774,                   0,           0.0090925,           0.0090925,           0.0090925
                  13,            0.022292,            0.011742,                   0,                   1,                   1,               0.995,             0.71197,           0.0097264,           0.0034286,                   0,             0.00901,             0.00901,             0.00901
                  14,            0.024735,            0.011895,                   0,             0.99996,                   1,               0.995,             0.76248,           0.0091852,           0.0036364,                   0,           0.0089275,           0.0089275,           0.0089275
                  15,            0.021797,            0.011721,                   0,             0.99993,                   1,               0.995,              0.7592,            0.010017,           0.0033472,                   0,            0.008845,            0.008845,            0.008845
                  16,            0.020784,            0.011421,                   0,             0.99998,                   1,               0.995,             0.70642,            0.010201,           0.0035064,                   0,           0.0087625,           0.0087625,           0.0087625
                  17,            0.019956,            0.010979,                   0,             0.99994,                   1,               0.995,             0.71662,            0.010428,           0.0033981,                   0,             0.00868,             0.00868,             0.00868
                  18,            0.022573,            0.010887,                   0,             0.99998,                   1,               0.995,             0.66582,            0.011054,           0.0033979,                   0,           0.0085975,           0.0085975,           0.0085975
                  19,            0.019897,            0.010615,                   0,             0.99998,                   1,               0.995,             0.72967,            0.011761,           0.0034199,                   0,            0.008515,            0.008515,            0.008515
                  20,            0.019389,            0.010846,                   0,                   1,                   1,               0.995,             0.78417,            0.010016,           0.0032737,                   0,           0.0084325,           0.0084325,           0.0084325
                  21,            0.019229,            0.010106,                   0,                   1,             0.99998,               0.995,              0.7803,           0.0087042,           0.0033067,                   0,             0.00835,             0.00835,             0.00835
                  22,             0.01918,            0.010256,                   0,                   1,             0.99999,               0.995,             0.77296,           0.0096415,            0.003255,                   0,           0.0082675,           0.0082675,           0.0082675
                  23,             0.01725,           0.0099565,                   0,             0.99999,                   1,               0.995,             0.73595,            0.010961,           0.0031779,                   0,            0.008185,            0.008185,            0.008185
                  24,             0.01854,            0.010283,                   0,             0.99998,                   1,               0.995,             0.76165,           0.0091915,           0.0032009,                   0,           0.0081025,           0.0081025,           0.0081025
                  25,            0.017507,            0.010719,                   0,             0.99997,                   1,               0.995,             0.77063,           0.0084211,           0.0034197,                   0,             0.00802,             0.00802,             0.00802
                  26,            0.017112,            0.010163,                   0,             0.99995,                   1,               0.995,             0.73715,           0.0088448,           0.0032707,                   0,           0.0079375,           0.0079375,           0.0079375
